icao_address,timestamp,latitude,longitude,altitude_baro,heading,vertical_rate,on_ground,callsign,tail_number,collection_type,flight_number,ingestion_time,speed,squawk,aircraft_type_icao,aircraft_type_name,airline_iata,airline_name,departure_utc_offset,departure_airport_icao,departure_airport_iata,departure_scheduled_time,departure_estimated_time,arrival_utc_offset,arrival_airport_icao,arrival_airport_iata,arrival_scheduled_time,arrival_estimated_time,takeoff_time,landing_time,source
79A035,2021-03-20T12:01:27Z,31.181946,121.432046,30100.0,270.0,,False,CES6433,B-2208,terrestrial,MU6433,2021-03-20T12:01:30.892Z,350.0,0701,A320,Airbus A320-214,MU,China Eastern Airlines,+0800,ZSQD,TAO,2021-03-20T10:55:00Z,2021-03-20T10:55:00Z,+0800,ZSYW,YIW,2021-03-20T13:05:00Z,2021-03-20T13:05:00Z,,,
79A035,2021-03-20T12:01:14Z,31.18222,121.45515,30100.0,270.0,-30.0,False,CES6433,B-2208,terrestrial,MU6433,2021-03-20T12:01:15.949Z,350.0,0701,A320,Airbus A320-214,MU,China Eastern Airlines,+0800,ZSQD,TAO,2021-03-20T10:55:00Z,2021-03-20T10:55:00Z,+0800,ZSYW,YIW,2021-03-20T13:05:00Z,2021-03-20T13:05:00Z,,,
79A035,2021-03-20T12:01:46Z,31.179245,121.393648,30100.0,260.0,-30.0,False,CES6433,B-2208,terrestrial,MU6433,2021-03-20T12:01:48.802Z,350.0,0701,A320,Airbus A320-214,MU,China Eastern Airlines,+0800,ZSQD,TAO,2021-03-20T10:55:00Z,2021-03-20T10:55:00Z,+0800,ZSYW,YIW,2021-03-20T13:05:00Z,2021-03-20T13:05:00Z,,,
79A035,2021-03-20T12:01:43Z,31.180037,121.401288,30100.0,270.0,30.0,False,CES6433,B-2208,terrestrial,MU6433,2021-03-20T12:01:46.415Z,350.0,0701,A320,Airbus A320-214,MU,China Eastern Airlines,+0800,ZSQD,TAO,2021-03-20T10:55:00Z,2021-03-20T10:55:00Z,+0800,ZSYW,YIW,2021-03-20T13:05:00Z,2021-03-20T13:05:00Z,,,
79A035,2021-03-20T12:01:02Z,31.18148,121.48017,30100.0,270.0,-30.0,False,CES6433,B-2208,terrestrial,MU6433,2021-03-20T12:01:04.716Z,350.0,0701,A320,Airbus A320-214,MU,China Eastern Airlines,+0800,ZSQD,TAO,2021-03-20T10:55:00Z,2021-03-20T10:55:00Z,+0800,ZSYW,YIW,2021-03-20T13:05:00Z,2021-03-20T13:05:00Z,,,
780019,2021-03-20T12:00:05Z,31.226349,121.328484,1425.0,336.33408,,False,CCA1830,B-6092,terrestrial,CA1830,2021-03-20T12:00:07.587Z,140.0,6365,A332,Airbus A330-243,CA,Air China,+0800,ZSSS,SHA,2021-03-20T12:00:00Z,,+0800,ZGGG,CAN,2021-03-20T14:25:00Z,,,,
780019,2021-03-20T12:00:42Z,31.239996,121.304059,2800.0,310.0,2170.0,False,CCA1830,B-6092,terrestrial,CA1830,2021-03-20T12:00:45.023Z,140.0,6365,A332,Airbus A330-243,CA,Air China,+0800,ZSSS,SHA,2021-03-20T12:00:00Z,,+0800,ZGGG,CAN,2021-03-20T14:25:00Z,,2021-03-20T11:59:31Z,,
780DE2,2021-03-20T12:02:14Z,31.223936,121.328943,2350.0,335.84518,,False,CES5523,B-1680,terrestrial,MU5523,2021-03-20T12:02:17.237Z,130.0,6313,A321,Airbus A321-231,MU,China Eastern Airlines,+0800,ZSSS,SHA,2021-03-20T11:55:00Z,2021-03-20T11:55:00Z,+0800,ZSQD,TAO,2021-03-20T13:45:00Z,2021-03-20T13:45:00Z,,,
780DE2,2021-03-20T12:02:34Z,31.233293,121.322076,3175.0,330.0,2560.0,False,CES5523,B-1680,terrestrial,MU5523,2021-03-20T12:02:35.335Z,120.0,6313,A321,Airbus A321-231,MU,China Eastern Airlines,+0800,ZSSS,SHA,2021-03-20T11:55:00Z,2021-03-20T11:55:00Z,+0800,ZSQD,TAO,2021-03-20T13:45:00Z,2021-03-20T13:45:00Z,,,
780DE2,2021-03-20T12:02:41Z,31.23761,121.318898,3425.0,330.0,,False,CES5523,B-1680,terrestrial,MU5523,2021-03-20T12:02:43.703Z,130.0,6313,A321,Airbus A321-231,MU,China Eastern Airlines,+0800,ZSSS,SHA,2021-03-20T11:55:00Z,2021-03-20T11:55:00Z,+0800,ZSQD,TAO,2021-03-20T13:45:00Z,2021-03-20T13:45:00Z,,,
780DE2,2021-03-20T12:02:44Z,31.239899,121.317121,3550.0,330.0,1690.0,False,CES5523,B-1680,terrestrial,MU5523,2021-03-20T12:02:46.074Z,140.0,6313,A321,Airbus A321-231,MU,China Eastern Airlines,+0800,ZSSS,SHA,2021-03-20T11:55:00Z,2021-03-20T11:55:00Z,+0800,ZSQD,TAO,2021-03-20T13:45:00Z,2021-03-20T13:45:00Z,,,
7807C9,2021-03-20T12:00:03Z,31.309499,121.257202,4750.0,320.0,,False,CCA1528,B-5621,terrestrial,CA1528,2021-03-20T12:00:05.254Z,240.0,6325,B738,Boeing 737-89L,CA,Air China,+0800,ZSSS,SHA,2021-03-20T11:50:00Z,,+0800,ZBTJ,TSN,2021-03-20T14:20:00Z,,,,
7807C9,2021-03-20T12:00:15Z,31.320206,121.247864,4750.0,320.0,250.0,False,CCA1528,B-5621,terrestrial,CA1528,2021-03-20T12:00:18.298Z,240.0,6325,B738,Boeing 737-89L,CA,Air China,+0800,ZSSS,SHA,2021-03-20T11:50:00Z,,+0800,ZBTJ,TSN,2021-03-20T14:20:00Z,,,,
7BB0A4,2021-03-20T12:00:20Z,31.32123,121.281537,24525.0,310.0,2680.0,False,CCA8302,B-2671,terrestrial,CA8302,2021-03-20T12:00:24.681Z,390.0,5667,B738,Boeing 737-89L,CA,Air China,+0800,ZSNB,NGB,2021-03-20T11:20:00Z,,+0800,ZBAA,PEK,2021-03-20T13:45:00Z,,,,
7807C9,2021-03-20T12:00:30Z,31.331955,121.237847,4750.0,320.0,160.0,False,CCA1528,B-5621,terrestrial,CA1528,2021-03-20T12:00:31.761Z,240.0,6325,B738,Boeing 737-89L,CA,Air China,+0800,ZSSS,SHA,2021-03-20T11:50:00Z,,+0800,ZBTJ,TSN,2021-03-20T14:20:00Z,,,,
7807C9,2021-03-20T12:00:32Z,31.336395,121.234023,4750.0,320.0,,False,CCA1528,B-5621,terrestrial,CA1528,2021-03-20T12:00:33.981Z,240.0,6325,B738,Boeing 737-89L,CA,Air China,+0800,ZSSS,SHA,2021-03-20T11:50:00Z,,+0800,ZBTJ,TSN,2021-03-20T14:20:00Z,,,,
7807C9,2021-03-20T12:00:36Z,31.340103,121.230846,4750.0,320.0,,False,CCA1528,B-5621,terrestrial,CA1528,2021-03-20T12:00:38.341Z,240.0,6325,B738,Boeing 737-89L,CA,Air China,+0800,ZSSS,SHA,2021-03-20T11:50:00Z,,+0800,ZBTJ,TSN,2021-03-20T14:20:00Z,,,,
7BB0A4,2021-03-20T12:00:47Z,31.354701,121.23891,25525.0,310.0,,False,CCA8302,B-2671,terrestrial,CA8302,2021-03-20T12:00:51.176Z,390.0,,B738,Boeing 737-89L,CA,Air China,+0800,ZSNB,NGB,2021-03-20T11:20:00Z,,+0800,ZBAA,PEK,2021-03-20T13:45:00Z,,,,
7BB0A4,2021-03-20T12:00:03Z,31.296204,121.308181,23825.0,320.0,2720.0,False,CCA8302,B-2671,terrestrial,CA8302,2021-03-20T12:00:05.269Z,400.0,5667,B738,Boeing 737-89L,CA,Air China,+0800,ZSNB,NGB,2021-03-20T11:20:00Z,,+0800,ZBAA,PEK,2021-03-20T13:45:00Z,,,,
7BB0A4,2021-03-20T12:00:05Z,31.298978,121.305872,23900.0,320.0,2300.0,False,CCA8302,B-2671,terrestrial,CA8302,2021-03-20T12:00:07.529Z,400.0,5667,B738,Boeing 737-89L,CA,Air China,+0800,ZSNB,NGB,2021-03-20T11:20:00Z,,+0800,ZBAA,PEK,2021-03-20T13:45:00Z,,,,
7BB0A4,2021-03-20T12:00:19Z,31.315225,121.289117,24350.0,310.0,2620.0,False,CCA8302,B-2671,terrestrial,CA8302,2021-03-20T12:00:22.472Z,390.0,5667,B738,Boeing 737-89L,CA,Air China,+0800,ZSNB,NGB,2021-03-20T11:20:00Z,,+0800,ZBAA,PEK,2021-03-20T13:45:00Z,,,,
7807CC,2021-03-20T12:09:59Z,31.105367,121.250281,4875.0,160.0,,False,CCA1885,B-6823,terrestrial,CA1885,2021-03-20T12:10:02.083Z,280.0,4130,A321,Airbus A321-232,CA,Air China,+0800,ZBAA,PEK,2021-03-20T10:30:00Z,,+0800,ZSSS,SHA,2021-03-20T12:35:00Z,,,,
7807CC,2021-03-20T12:10:56Z,31.03647,121.273956,3675.0,160.0,-920.0,False,CCA1885,B-6823,terrestrial,CA1885,2021-03-20T12:10:58.046Z,260.0,4130,A321,Airbus A321-232,CA,Air China,+0800,ZBAA,PEK,2021-03-20T10:30:00Z,,+0800,ZSSS,SHA,2021-03-20T12:35:00Z,,,,
7807CC,2021-03-20T12:10:12Z,31.090988,121.255619,4600.0,160.0,-1340.0,False,CCA1885,B-6823,terrestrial,CA1885,2021-03-20T12:10:12.943Z,280.0,4130,A321,Airbus A321-232,CA,Air China,+0800,ZBAA,PEK,2021-03-20T10:30:00Z,,+0800,ZSSS,SHA,2021-03-20T12:35:00Z,,,,
780FBD,2021-03-20T12:04:22Z,31.105453,121.420306,12550.0,110.0,-1660.0,False,CSH9418,B-7397,terrestrial,FM9418,2021-03-20T12:04:24.825Z,330.0,2137,B738,Boeing 737-89P,FM,Shanghai Airlines,+0800,ZSLG,LYG,2021-03-20T11:20:00Z,,+0800,ZSPD,PVG,2021-03-20T12:35:00Z,,,,
780FBD,2021-03-20T12:04:38Z,31.099319,121.446856,12100.0,110.0,-1760.0,False,CSH9418,B-7397,terrestrial,FM9418,2021-03-20T12:04:40.385Z,330.0,2137,B738,Boeing 737-89P,FM,Shanghai Airlines,+0800,ZSLG,LYG,2021-03-20T11:20:00Z,,+0800,ZSPD,PVG,2021-03-20T12:35:00Z,,,,
780FBC,2021-03-20T12:06:08Z,31.034748,121.345148,2800.0,356.77023,-960.0,False,CSH9400,B-7396,terrestrial,FM9400,2021-03-20T12:06:10.508Z,140.0,,B738,Boeing 737-89P,FM,Shanghai Airlines,+0800,ZGHA,CSX,2021-03-20T10:50:00Z,,+0800,ZSSS,SHA,2021-03-20T12:45:00Z,,,,
780FBC,2021-03-20T12:06:47Z,31.058862,121.343829,2325.0,357.48404,-600.0,False,CSH9400,B-7396,terrestrial,FM9400,2021-03-20T12:06:49.020Z,120.0,4246,B738,Boeing 737-89P,FM,Shanghai Airlines,+0800,ZGHA,CSX,2021-03-20T10:50:00Z,,+0800,ZSSS,SHA,2021-03-20T12:45:00Z,,,2021-03-20T12:09:27Z,
780E37,2021-03-20T12:06:26Z,31.10939,121.403288,12125.0,110.0,-2200.0,False,CES2543,B-6017,terrestrial,MU2543,2021-03-20T12:06:29.166Z,370.0,6247,B738,Boeing 737-84P,MU,China Eastern Airlines,+0800,ZHHH,WUH,2021-03-20T11:00:00Z,2021-03-20T11:00:00Z,+0800,ZSPD,PVG,2021-03-20T12:40:00Z,2021-03-20T12:40:00Z,,,
780E37,2021-03-20T12:06:59Z,31.095337,121.464036,11150.0,110.0,-1500.0,False,CES2543,B-6017,terrestrial,MU2543,2021-03-20T12:07:01.975Z,360.0,6247,B738,Boeing 737-84P,MU,China Eastern Airlines,+0800,ZHHH,WUH,2021-03-20T11:00:00Z,2021-03-20T11:00:00Z,+0800,ZSPD,PVG,2021-03-20T12:40:00Z,2021-03-20T12:40:00Z,,,
780E37,2021-03-20T12:06:41Z,31.102661,121.432639,11625.0,110.0,-1950.0,False,CES2543,B-6017,terrestrial,MU2543,2021-03-20T12:06:42.426Z,360.0,6247,B738,Boeing 737-84P,MU,China Eastern Airlines,+0800,ZHHH,WUH,2021-03-20T11:00:00Z,2021-03-20T11:00:00Z,+0800,ZSPD,PVG,2021-03-20T12:40:00Z,2021-03-20T12:40:00Z,,,
781463,2021-03-20T12:03:02Z,31.086182,121.503242,9625.0,110.0,,False,CES7174,B-300Q,terrestrial,MU7174,2021-03-20T12:03:05.530Z,310.0,0552,A333,Airbus A330-343E,MU,China Eastern Airlines,+0530,VIDP,DEL,,,+0800,ZSPD,PVG,,,2021-03-20T06:59:46Z,,
781463,2021-03-20T12:03:11Z,31.08279,121.518018,9350.0,110.0,-1660.0,False,CES7174,B-300Q,terrestrial,MU7174,2021-03-20T12:03:14.297Z,310.0,0552,A333,Airbus A330-343E,MU,China Eastern Airlines,+0530,VIDP,DEL,,,+0800,ZSPD,PVG,,,2021-03-20T06:59:46Z,,
780FBD,2021-03-20T12:05:04Z,31.088422,121.493903,11400.0,110.0,-1340.0,False,CSH9418,B-7397,terrestrial,FM9418,2021-03-20T12:05:06.932Z,330.0,2137,B738,Boeing 737-89P,FM,Shanghai Airlines,+0800,ZSLG,LYG,2021-03-20T11:20:00Z,,+0800,ZSPD,PVG,2021-03-20T12:35:00Z,,,,
780FBD,2021-03-20T12:05:07Z,31.087305,121.498792,11350.0,110.0,-1340.0,False,CSH9418,B-7397,terrestrial,FM9418,2021-03-20T12:05:09.699Z,330.0,2137,B738,Boeing 737-89P,FM,Shanghai Airlines,+0800,ZSLG,LYG,2021-03-20T11:20:00Z,,+0800,ZSPD,PVG,2021-03-20T12:35:00Z,,,,
